id,name,contact_phone,contact_email,street_address,website,city,state,zip,latitude,longitude,share_address,share_phone,share_email,created_at,updated_at
226,Harbor of Safety,1-967-604-0852,emery@ward.test,541 Domitila Underpass,http://feil.test/sunday,Columbus,OH,79214,39.7228746894095,-83.20834787330843,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
227,Unity Refuge Center,(691) 700-6887,bell@herzog-stark.test,134 Collins Mill,http://rogahn-lowe.test/winfred_turcotte,Charlotte,NC,73411,35.101763572372,-81.0933860899399,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
228,Heartwarming Shelter,995.743.7462,kenton_wisoky@von.example,68806 Pa Island,http://turcotte-bahringer.test/cletus,Indianapolis,IN,15965,39.721292683143474,-86.45890968712989,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
229,Safe Haven Refuge,832-488-7264,adrian@hudson.test,14715 Wade Course,http://zieme-reilly.test/mervin,Nashville,TN,35114-0709,35.897738003422575,-86.86732434727794,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
230,Radiant Retreat Shelter,(388) 308-5405,bryce_thompson@wintheiser-thompson.example,13938 Maira Pines,http://casper.example/leeanna,Detroit,MI,04180,42.46286231190493,-83.38473320971205,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
231,Angel's Arms Shelter,937-078-9831,lyle@walter.test,48655 Koelpin Curve,http://zieme.test/sabina_hessel,Austin,TX,71494-6038,30.351642175842574,-97.8725717226426,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
232,New Beginnings Shelter,1-821-154-3810,quinton_hintz@collins.example,622 Kertzmann Estate,http://king.example/johnnie_goodwin,Sacramento,CA,40920-9946,38.70210230907947,-121.57370765331909,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
233,Recovery Refuge,376-239-2511,emely.wiza@blanda.test,635 Yvone Square,http://pouros.example/delana_howell,Louisville,KY,07482,38.335995400725764,-85.48982575581356,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
234,Benevolent Refuge,237.265.2413,alison_tillman@sipes-bernhard.example,369 Crona Forge,http://leffler.test/felix,Sacramento,CA,44881,38.74655994736173,-121.49716820374906,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
235,New Horizons Shelter,195-084-2093,andy@gutkowski.test,2371 Edward Trafficway,http://breitenberg.test/jonathon,Raleigh,NC,23584,35.58744583904794,-78.39935126380642,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
236,Emerald Oasis Shelter,(765) 205-0343,gregoria_bartell@moore.test,593 Leonie Road,http://prohaska-bahringer.example/missy,Columbus,OH,71454,40.124901544348184,-82.9514432737211,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
237,Whispering Pines Refuge,(731) 197-5755,del_toy@aufderhar-christiansen.example,1946 Waylon Shores,http://runolfsdottir.test/shawanda_schmitt,Fort Worth,TX,69474-9066,32.48826503461531,-97.31011695839491,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
238,Open Arms Refuge,495-436-4952,georgeanna@russel.test,164 Blair Junctions,http://mcclure.example/devon_hintz,San Jose,CA,61772-1304,37.09021199635324,-121.6408292944241,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
239,Companionship Refuge,361-990-1624,kyoko@jast.test,81224 Eduardo Stravenue,http://schmeler-connelly.test/saundra_wilkinson,Long Beach,CA,55869-7992,33.81999275635104,-118.13572240178155,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
240,Emerald Oasis Shelter,(757) 031-2369,fran@morar-denesik.example,1431 Murray Passage,http://greenholt-walker.test/brandon.wuckert,Oakland,CA,44996,37.9245537638973,-122.3068565413946,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
241,Angel's Arms Shelter,670-666-0706,alva.quigley@davis.example,9540 Spencer Rest,http://gorczany.example/birgit,Philadelphia,PA,89784-0869,40.1415628051094,-75.24906667803351,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
242,Unity Refuge Center,527.570.5246,shirlene@leannon-anderson.example,888 Bennett Pike,http://dickinson.example/john,Mesa,AZ,12970-6511,33.51718618841185,-111.69930917795115,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
243,Community Compass Shelter,1-134-837-9238,perry_lakin@mckenzie-schaefer.example,137 Antone Ports,http://wisozk-kutch.test/keneth,Philadelphia,PA,11758,40.12595862001867,-75.43978082306602,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
244,Graceful Shelter,469-179-5911,jerry@labadie.example,3540 Floyd Mountains,http://ruecker-wyman.example/shaunta,Milwaukee,WI,61368-6766,42.91530403591627,-88.11834753260311,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
245,Strength in Unity Haven,(637) 726-2528,sam_dickinson@kub.example,8981 Mirtha Gateway,http://deckow.example/glennis_vandervort,San Diego,CA,58652-7668,32.74475792427452,-117.14815440663808,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
246,Refugee Empowerment Center,1-654-160-5368,zackary@maggio.example,1830 Marquis Via,http://balistreri-wolf.test/harris,Philadelphia,PA,78362-5641,39.71104143135078,-75.37888721686676,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
247,Unity Refuge Center,418-841-6117,faustino@thiel-ferry.example,156 Ritchie Manor,http://daugherty.example/delphine_connelly,Denver,CO,30740,39.84956224204271,-104.67690225693079,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
248,Heartwarming Shelter,594.268.3902,merlin_lindgren@hermann.test,427 Schmitt Heights,http://king-rolfson.test/marni,Denver,CO,72415,39.62782298159656,-105.23719860623876,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
249,Hearts United Haven,454.958.9049,syreeta.hammes@rath-blick.test,66905 Emilio Springs,http://hermiston.example/marc,"Washington, D.C.",DC,03478-4184,38.819616038782605,-77.1688855610063,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
250,Safe Passage Shelter,(401) 389-8813,tommy@dubuque-weimann.test,6367 Cassin Square,http://berge.example/allan,Fresno,CA,50915,36.81542934935431,-119.3926612864472,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
251,Heartwarming Shelter,371.055.0399,dalene_russel@green.test,33399 McLaughlin Drives,http://runte.test/shavonda_jacobi,Phoenix,AZ,66513,33.4719456706455,-112.15409669328587,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
252,Golden Oasis Shelter,1-569-499-0806,ramonita@beahan.example,26862 Hackett Forge,http://mueller-kutch.example/stacey_boyer,Memphis,TN,69887,35.18966296870351,-89.79126123902543,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
253,Welcome Winds Refuge,(817) 554-1831,jeff@harvey-graham.test,3809 Denver Estate,http://schumm.example/clemencia,Columbus,OH,64094-4312,40.17648011761703,-82.99015249063386,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
254,Community Compass Shelter,941.928.0653,cleo@bogan.example,80542 Welch Walks,http://mcdermott.test/corinne,Philadelphia,PA,16840-1599,39.67551256032659,-75.38727324172275,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
255,Cherished Dreams Refuge,1-287-870-1078,mira@kutch.test,7576 Doreatha Mountains,http://stamm.example/freddy,Atlanta,GA,04069-9114,33.94796559155962,-84.51166265548721,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
256,Guiding Light Shelter,1-435-077-3338,daria@tillman.example,491 Krajcik Bridge,http://grimes.test/jeanetta,Charlotte,NC,55538-7126,35.41507074724886,-80.70610835408237,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
257,Comfort Cove Shelter,(893) 740-0179,gena.block@harber.example,880 Willian Mountains,http://kertzmann.test/cyndi,Memphis,TN,77934,34.91015675673709,-89.82304635805487,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
258,Compassion Corner,392.279.7828,willard.schoen@erdman-kautzer.example,81512 Weber Knoll,http://kertzmann.test/brenda,New York City,NY,73678-5249,40.8489806501381,-74.2392855963887,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
259,Golden Oasis Shelter,1-639-702-2387,wilford.murazik@ohara.test,1190 Terisa Center,http://schuppe-conroy.example/valeri_reynolds,San Jose,CA,96616-6546,37.16601836287266,-121.71610647691061,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
260,Sheltered Serenity,559.194.1274,gala.torphy@sauer.example,192 Garrett Park,http://pagac.test/vaughn.fritsch,Oakland,CA,83927,37.743894405966806,-121.9066790966189,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
261,Promise of Tomorrow Refuge,(989) 232-8975,donald_wisoky@yost.test,591 Smith Fall,http://king-kshlerin.test/carlton,Oakland,CA,82524-0862,37.62060485927221,-122.42953316501143,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
262,Angel's Arms Shelter,(715) 968-7467,dillon_conn@nitzsche.example,9112 Adelia Cliffs,http://gusikowski.example/louie.kertzmann,Atlanta,GA,06002-2851,33.59158448259001,-84.55729572429472,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
263,New Horizons Shelter,(767) 401-6847,georgeanna@ortiz-mertz.example,160 Nichole Lights,http://tremblay.example/demetrius,Cleveland,OH,77685-5063,41.58637619213229,-81.44836740275866,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
264,Sunrise Sanctuary,(450) 705-6294,kathie.oreilly@greenfelder-mitchell.test,30792 Matthew Trace,http://funk.example/robin,Columbus,OH,85654-0471,39.857400865719896,-82.85681743540054,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
265,Caring Haven,1-552-148-2306,melina.waters@abbott.example,14220 Kris Cape,http://kassulke.example/cody,Portland,OR,38483,45.68457584895572,-122.83692227717708,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
266,Tranquil Oasis,521.392.0234,dominick@wilkinson.example,840 Romaguera Courts,http://rogahn.test/marylynn,Mesa,AZ,63849-5658,33.58727519307218,-111.51815500443661,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
267,Open Arms Refuge,(286) 504-3626,rod@luettgen.test,8409 Kihn Meadows,http://bode.test/lawanda.lueilwitz,El Paso,TX,61251,31.96715086723797,-106.73316068053133,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
268,Life Renewal Refuge,261.826.9180,katelin.langosh@ortiz.test,2371 Kreiger Junction,http://wintheiser-orn.example/loretta.hayes,Oklahoma City,OK,12102-3465,35.49193284077372,-97.77699552613211,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
269,Compassion Corner,137.629.0365,alex@mills.test,6262 Jenae Fork,http://flatley.example/randolph_rippin,Tucson,AZ,00011-8602,32.140564066620975,-111.26662391384576,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
270,Shelter from the Storm,(334) 666-2663,tara_roberts@lakin.test,66340 Michell Freeway,http://glover-robel.test/laticia.rodriguez,San Jose,CA,79349,37.12225696697978,-122.20554581122268,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
271,Harbor of Safety,674.181.2853,darrell@little.test,5014 Tawana Hollow,http://sauer.example/magaly,New York City,NY,88325,40.70665737957927,-73.82715298528632,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
272,Open Arms Refuge,707.327.4669,bertram@schmeler-schaefer.test,16463 Woodrow View,http://morar.example/millard_robel,Omaha,NE,12641-4096,41.46891738731086,-95.86119119401833,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
273,Dream Safe Haven,1-491-437-1080,leopoldo@parisian.test,4225 Greenholt Ways,http://maggio.test/loyd.buckridge,Columbus,OH,43461-5737,39.9346827734882,-82.98817021981029,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
274,Sheltered Hearts Sanctuary,(422) 140-9388,levi@purdy.example,2976 Shemeka Ville,http://mcglynn.test/milford,Detroit,MI,64600,42.161972464969985,-82.89493154917042,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
275,Tranquil Oasis,1-555-559-7104,sergio@rohan.test,660 Larissa Lights,http://kunde.example/lowell.spinka,San Diego,CA,73854,32.72201706459094,-117.18629143236126,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
276,New Beginnings Shelter,744.447.6932,camila@jacobson-toy.test,842 Alline Locks,http://weissnat-labadie.example/harris,Nashville,TN,89892,35.96179610070205,-86.71606833943898,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
277,Hope Bridge Shelter,106.594.8460,ernest_trantow@rippin-hauck.example,526 Trantow Mill,http://wuckert.test/eldridge,Nashville,TN,27142,35.91354410212124,-86.8786641072958,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
278,Safe Haven Refuge,1-632-332-8210,bailey@rosenbaum.test,15895 Mario Rue,http://bogisich.example/clint.gusikowski,Philadelphia,PA,82932,39.84772978837435,-75.08677068169949,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
279,Warmth and Welcome Shelter,225.124.7500,rivka@hartmann-schimmel.example,798 Gerald Stream,http://shields.example/herman,San Jose,CA,39136,37.24652279191827,-121.79107291492095,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
280,Hopeful Haven Shelter,1-522-836-4772,randy@terry-carroll.test,541 Turcotte Viaduct,http://stoltenberg-jaskolski.test/demarcus,Dallas,TX,35309-0541,32.55400196330786,-96.99840398608004,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
281,Promise of Tomorrow Refuge,599-673-2418,jazmine@koepp-medhurst.example,6648 Shelia Burgs,http://trantow.example/carmen,Oklahoma City,OK,24502-9709,35.64589109084875,-97.16958564341014,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
282,Sanctuary of Dreams,1-149-486-9648,debbie_grimes@mayer-daniel.example,5211 Parker Lane,http://greenfelder-beier.example/ophelia,Oklahoma City,OK,02120,35.674872013251914,-97.67070518741806,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
283,Caring Haven,467.202.3117,elvin_parisian@gislason.test,746 Desirae Track,http://gerhold-hane.test/melynda.armstrong,Raleigh,NC,69135,35.822245617197034,-78.68092351842478,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
284,New Beginnings Shelter,1-697-924-2740,arden_jaskolski@reichert.example,8421 Nitzsche Unions,http://leffler-feil.test/hilario_anderson,Minneapolis,MN,28331-1235,45.00052991607435,-93.16457737473362,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
285,Community Compass Shelter,1-690-138-5904,kendall_rolfson@graham.example,5844 Hildred Track,http://macejkovic-okeefe.test/tommy.thompson,New York City,NY,43404,40.44447490650221,-74.3584024120471,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
286,Refugee Empowerment Center,1-207-129-2376,thaddeus.littel@gorczany.example,26615 Parisian Fords,http://yundt.test/sheri_price,Virginia Beach,VA,97046,37.13153978966666,-75.8749030516613,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
287,Shelter from the Storm,894-131-1904,merlyn@witting.example,488 Barton Groves,http://mohr.test/kristofer,Seattle,WA,18258,47.789831582404496,-122.34369429448772,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
288,Journey to Belonging,220.769.0069,kathyrn@hermiston.example,558 Gusikowski Tunnel,http://jacobi.example/akilah_flatley,Austin,TX,68930,30.015257399805787,-98.0554713017379,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
289,Golden Oasis Shelter,670.893.4116,duncan@pacocha.example,6191 Catarina Spur,http://jacobson.test/katelynn_wisoky,Indianapolis,IN,22583-3421,39.87722368642959,-85.93260266209293,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
290,Empathy Haven,1-965-854-5954,callie@stamm-dickinson.test,34290 Hershel Run,http://grimes-gibson.example/janis,Indianapolis,IN,18328-2388,39.53802162114021,-86.07871032210916,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
291,Hearts United Haven,289-021-7116,curt@champlin.example,748 Yolande Islands,http://larson-thiel.example/rueben.veum,Charlotte,NC,91238,35.08015571008543,-81.1513660199467,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
292,Cherished Dreams Refuge,369.607.2820,ashley.medhurst@heller-maggio.example,962 Blick Skyway,http://gutkowski-torp.test/luigi.klocko,Sacramento,CA,96558-2043,38.84947304835367,-121.35678617934603,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
293,Graceful Shelter,302-827-8537,grady_greenfelder@harber-hirthe.test,84770 Rau Hills,http://torphy-fadel.example/keila,Charlotte,NC,22902,35.44123280184735,-80.64807819043159,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
294,Golden Oasis Shelter,(230) 682-5304,leeanne.hamill@leuschke.test,77390 Rutherford River,http://ward.example/dana,San Diego,CA,31039,32.716635856072614,-117.41378498876595,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
295,Tranquil Oasis,820-632-4066,thad@nienow.test,707 Howe Motorway,http://kertzmann.test/marlen,San Francisco,CA,97361-7639,37.694763840801436,-122.28582775196332,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
296,Sheltered Hearts Sanctuary,1-722-737-8104,andres_kemmer@kiehn.test,3570 Medhurst Cliffs,http://padberg-smitham.example/renita,Tucson,AZ,34026-9415,32.1776006307976,-111.00732300799298,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
297,Companionship Refuge,1-427-150-2867,carlos@littel-okeefe.test,6878 Brandon Radial,http://boyle.example/gwen,New York City,NY,41236-5673,40.51161988817272,-74.20095207383713,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
298,Shelter from the Storm,(254) 931-1446,delbert@nader-koepp.example,9644 Del Curve,http://cronin.example/darrick,Philadelphia,PA,22805-1650,40.04630541020187,-75.37843674488592,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
299,Cherished Dreams Refuge,1-529-819-7565,juan@damore-batz.example,5004 Toy Crest,http://heaney-bailey.test/angelina.schroeder,Arlington,TX,75854-5947,32.74012181397946,-96.90256815194573,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
300,Tranquil Oasis,742-804-8228,benedict@wolf-hyatt.test,18409 Wilfredo Rue,http://moore.test/jacquline.cummings,Philadelphia,PA,34944,40.15921661991148,-75.0753010438241,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
301,Harbor of Safety,1-157-323-7931,yulanda_cole@waelchi-dooley.test,15929 Leroy Skyway,http://ledner.example/chase,Kansas City,MO,09890-8595,39.27711138379729,-94.41250164415153,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
302,Tranquil Oasis,483-943-2600,karon.collins@kuphal.test,9904 Zackary Summit,http://feest.example/marx,Fresno,CA,90701-3175,36.725436946533,-120.01279178277595,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
303,Empathy Haven,271-306-5227,kyla@kris.example,862 Marcellus Forge,http://weber.example/rafaela,El Paso,TX,21941,31.759440022011102,-106.1481719239162,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
304,Radiant Retreat Shelter,481.323.1069,arron.gerlach@anderson.example,974 Deedee Loaf,http://cummings.example/oralee,Oklahoma City,OK,17339,35.464870363955164,-97.44920818141931,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
305,Shelter from the Storm,696-666-4005,cortney_pfeffer@mills-kessler.example,1350 Ervin Plain,http://kautzer.example/filiberto,Philadelphia,PA,67460,40.16007295807219,-75.12419709212065,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
306,Comfort Cove Shelter,414-546-3111,chester@yundt.example,9402 Kris Manor,http://kuvalis.test/gerry.simonis,Wichita,KS,42417,37.777579755081426,-97.19722540701305,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
307,Harmony Haven,1-280-443-7374,birgit@schuster.example,84794 Goodwin Crossing,http://mohr-nolan.test/natasha,El Paso,TX,99292-4803,31.4778921866792,-106.29840451380747,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
308,Beloved Shelter,524.946.4344,hubert@schuster.example,1849 Leannon Radial,http://rath.example/rich,Cleveland,OH,16510-2082,41.703142500490365,-81.92919975698007,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
309,Refugee Empowerment Center,448-440-6099,faye@skiles.example,167 Bode Common,http://steuber.test/dustin.kohler,Chicago,IL,50144-4891,41.73309552820838,-87.73295393528426,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
310,Journey to Belonging,164.367.4041,toby.erdman@kuhic.test,9574 Ana Extension,http://feeney.test/hector,Oakland,CA,47484,38.06553112388397,-121.91313690022714,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
311,Peaceful Pathway Shelter,486.717.8499,erick@bartell.test,3688 Elton Knoll,http://friesen.test/gus,Charlotte,NC,75917,35.4826106282997,-80.90879180636706,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
312,Lighthouse of Hope,1-144-322-6888,michel_hickle@steuber.example,9523 Justin Port,http://prohaska-walker.example/ed.stroman,Seattle,WA,77062,47.36148886644911,-122.51953174055272,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
313,New Beginnings Shelter,(925) 756-9681,margarito.barrows@marvin.test,772 Melynda Fords,http://nikolaus.test/huey,Albuquerque,NM,54362-2618,35.104815696319974,-106.66457135703432,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
314,Cherished Dreams Refuge,1-901-168-8946,neal.schmitt@ullrich-krajcik.example,42252 Heathcote Lock,http://weimann.example/leopoldo,Charlotte,NC,01195,35.08400604610787,-80.76776258929712,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
315,Welcome Winds Refuge,567.046.7480,catrina.smith@flatley-metz.test,867 Ryan Common,http://zemlak.example/quinton,Wichita,KS,98880,37.48953248622676,-97.25953402722081,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
316,Unity Refuge Center,671.986.3402,joanie.becker@fahey-miller.example,77635 Jesse Cliff,http://sanford.example/jeniffer.buckridge,Minneapolis,MN,66058,45.13287538614216,-93.47659772592452,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
317,Sheltered Hearts Sanctuary,976.034.6894,carlton.muller@thiel.example,174 Thiel Road,http://sawayn-white.test/hilaria,Louisville,KY,23000-3498,38.14755065257743,-85.80499259177783,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
318,Open Arms Refuge,1-965-659-0402,brittany.witting@pacocha.example,6204 Marcelo Parks,http://treutel.example/tim,Detroit,MI,20249-6585,42.13172727922719,-82.80336005842126,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
319,Welcome Winds Refuge,(400) 678-5753,kit@ferry.test,92134 Aaron Spurs,http://beier-bogisich.test/osvaldo,Boston,MA,48604-9845,42.64307328458757,-70.87852745994641,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
320,Solace Shelter,1-277-084-1838,krystle_dare@dickinson.test,4617 Dalene Mountains,http://heller.example/vivian,Seattle,WA,81096,47.429873130263196,-122.45411689341137,false,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
321,Sheltered Hearts Sanctuary,341-102-8127,robena@hilpert.test,90966 Legros Bypass,http://rempel-trantow.test/horace_pacocha,New Orleans,LA,76642,29.833460664423793,-90.10647934934266,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
322,Bridge to Belonging,827.021.2501,stella@gusikowski-kutch.example,6508 Arlean Common,http://ernser.example/lore,Tucson,AZ,74228,32.36873846014139,-111.34436171378809,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
323,Dream Safe Haven,480.286.7158,zachariah_durgan@runolfsson.example,6172 Rolfson Estates,http://hessel.example/nichol.kris,Omaha,NE,81367-9107,41.50991937347153,-95.78500907329338,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
324,Strength in Unity Haven,240-206-1748,eloy@auer.test,6874 Myron Motorway,http://oreilly.example/hollie,Jacksonville,FL,04633-4686,30.264517320160003,-81.49452942237,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
325,Heartwarming Shelter,1-407-594-6387,aide.funk@funk-ortiz.test,782 Cody Rapid,http://hegmann.example/marlen.heaney,Detroit,MI,18818-4652,42.11932609592133,-82.75615832582442,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
326,Homecoming Haven,1-601-692-2869,jim.okeefe@nienow-cormier.example,21796 Britt Fall,http://davis-reinger.test/ezra.mills,Dallas,TX,91087,32.74716749506511,-96.81858856565344,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
327,Safe Haven Refuge,1-132-866-7759,daryl_mraz@olson-boyer.example,7199 Rempel Village,http://reichel.example/gilberte,New Orleans,LA,42551,30.158385445146017,-89.92719508041694,true,false,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
328,Beloved Shelter,(569) 876-3542,enoch@hudson-pollich.example,9698 Hessel Manor,http://lakin.example/everett,New York City,NY,66839,40.89725822376056,-73.67198288785649,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
329,Community Compass Shelter,992.727.3216,loura_erdman@bergnaum-spencer.example,9426 Wolf Ferry,http://davis.test/nannie.harber,Charlotte,NC,30158,35.322672316368475,-81.13775083254882,false,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
330,Golden Oasis Shelter,593.552.2066,danial_runolfsson@ritchie.test,3200 Jackqueline Pines,http://hermann.test/alonzo,Tulsa,OK,63107,36.43739419074683,-95.63096144965593,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
331,Promise of Tomorrow Refuge,1-419-019-0046,cristy@feil-doyle.test,5774 Winnie Lane,http://bergnaum-reichert.example/shannon_toy,Phoenix,AZ,79452,33.160987017920206,-112.22157318314734,true,true,true,2023-10-15 20:34:30 UTC,2023-10-15 20:34:30 UTC
